+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
| clk_elink_mopshub_readout_bd_clk_wiz_0_0 |clk_40_mopshub_readout_bd_clk_wiz_1_0_1 |                           mopshub_readout_bd_i/ila_0/inst/ila_core_inst/shifted_data_in_reg[7][15]_srl8/D|
| clk_elink_mopshub_readout_bd_clk_wiz_0_0 |clk_40_mopshub_readout_bd_clk_wiz_1_0_1 |                    mopshub_readout_bd_i/ila_0/inst/ila_core_inst/shifted_data_in_reg[7][44]_srl8_srlopt/D|
| clk_elink_mopshub_readout_bd_clk_wiz_0_0 |clk_40_mopshub_readout_bd_clk_wiz_1_0_1 |mopshub_readout_bd_i/ila_0/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[1].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[3]/D|
| clk_elink_mopshub_readout_bd_clk_wiz_0_0 |clk_40_mopshub_readout_bd_clk_wiz_1_0_1 |                           mopshub_readout_bd_i/ila_0/inst/ila_core_inst/shifted_data_in_reg[7][47]_srl8/D|
| clk_elink_mopshub_readout_bd_clk_wiz_0_0 |clk_40_mopshub_readout_bd_clk_wiz_1_0_1 |                           mopshub_readout_bd_i/ila_0/inst/ila_core_inst/shifted_data_in_reg[7][24]_srl8/D|
| clk_elink_mopshub_readout_bd_clk_wiz_0_0 |clk_40_mopshub_readout_bd_clk_wiz_1_0_1 |mopshub_readout_bd_i/ila_0/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[2].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[7]/D|
| clk_elink_mopshub_readout_bd_clk_wiz_0_0 |clk_40_mopshub_readout_bd_clk_wiz_1_0_1 |mopshub_readout_bd_i/mopshub_readout_0/inst/elink_core0/fifo_to_elink0/fifo_core_wrap_tx/fifo_async0/sync_r2w/wq1_rptr_reg[17]/D|
| clk_elink_mopshub_readout_bd_clk_wiz_0_0 |clk_40_mopshub_readout_bd_clk_wiz_1_0_1 |mopshub_readout_bd_i/mopshub_readout_0/inst/elink_core0/fifo_to_elink0/fifo_core_wrap_tx/fifo_async0/sync_r2w/wq1_rptr_reg[15]/D|
| clk_elink_mopshub_readout_bd_clk_wiz_0_0 |clk_40_mopshub_readout_bd_clk_wiz_1_0_1 |                           mopshub_readout_bd_i/ila_0/inst/ila_core_inst/shifted_data_in_reg[7][27]_srl8/D|
